Name,Class,Gender,Survived
"Allen, Miss Elisabeth Walton",1st,female,1
"Allison, Miss Helen Loraine",1st,female,0
"Allison, Mr Hudson Joshua Crei",1st,male,0
"Allison, Mrs Hudson JC (Bessie",1st,female,0
"Allison, Master Hudson Trevor",1st,male,1
"Anderson, Mr Harry",1st,male,1
"Andrews, Miss Kornelia Theodos",1st,female,1
"Andrews, Mr Thomas, jr",1st,male,0
"Appleton, Mrs Edward Dale (Cha",1st,female,1
"Artagaveytia, Mr Ramon",1st,male,0
"Astor, Colonel John Jacob",1st,male,0
"Astor, Mrs John Jacob (Madelei",1st,female,1
"Aubert, Mrs Leontine Pauline",1st,female,1
"Barkworth, Mr Algernon H",1st,male,1
"Baumann, Mr John D",1st,male,0
"Baxter, Mrs James (Helene DeLa",1st,female,1
"Baxter, Mr Quigg Edmond",1st,male,0
"Beattie, Mr Thomson",1st,male,0
"Beckwith, Mr Richard Leonard",1st,male,1
"Beckwith, Mrs Richard Leonard",1st,female,1
"Behr, Mr Karl Howell",1st,male,1
"Birnbaum, Mr Jakob",1st,male,0
"Bishop, Mr Dickinson H",1st,male,1
"Bishop, Mrs Dickinson H (Helen",1st,female,1
"Bjornstrm-Steffansson, Mr Maur",1st,male,1
"Blackwell, Mr Stephen Weart",1st,male,0
"Blank, Mr Henry",1st,male,1
"Bonnell, Miss Caroline",1st,female,1
"Bonnell, Miss Elizabeth",1st,female,1
"Borebank, Mr John James",1st,male,0
"Bowen, Miss Grace Scott",1st,female,1
"Bowerman, Miss Elsie Edith",1st,female,1
"Bradley, Mr George",1st,male,1
"Brady, Mr John Bertram",1st,male,0
"Brandeis, Mr Emil",1st,male,0
"Brewe, Dr Arthur Jackson",1st,male,0
"Brown, Mrs James Joseph (Marga",1st,female,1
"Brown, Mrs John Murray (Caroli",1st,female,1
"Bucknell, Mrs William Robert (",1st,female,1
"Butt, Major Archibald Willingh",1st,male,0
"Calderhead, Mr Edward P",1st,male,1
"Candee, Mrs Edward (Helen Chur",1st,female,1
"Cardeza, Mrs James Warburton M",1st,female,1
"Cardeza, Mr Thomas Drake Marti",1st,male,1
"Carlsson, Mr Frans Olof",1st,male,0
"Carrau, Mr Francisco M",1st,male,0
"Carrau, Mr Jose Pedro",1st,male,0
"Carter, Mr William Ernest",1st,male,1
"Carter, Mrs William Ernest (Lu",1st,female,1
"Carter, Miss Lucile Polk",1st,female,1
"Carter, Master William T II",1st,male,1
"Case, Mr Howard Brown",1st,male,0
"Cassebeer, Mrs Henry Arthur jr",1st,female,1
"Cavendish, Mr Tyrell William",1st,male,0
"Cavendish, Mrs Tyrell William",1st,female,1
"Chaffee, Mr Herbert Fuller",1st,male,0
"Chaffee, Mrs Herbert Fuller (C",1st,female,1
"Chambers, Mr Norman Campbell",1st,male,1
"Chambers, Mrs Norman Campbell",1st,female,1
"Cherry, Miss Gladys",1st,female,1
"Chevre, Mr Paul",1st,male,1
"Chibnall (Bowerman), Mrs Edith",1st,female,1
"Chisholm, Mr Roderick Robert",1st,male,0
"Clark, Mr Walter Miller",1st,male,0
"Clark, Mrs Walter Miller (Virg",1st,female,1
"Clifford, Mr George Quincy",1st,male,0
"Colley, Mr Edward Pomeroy",1st,male,0
"Compton, Mrs Alexander Taylor",1st,female,1
"Compton, Mr Alexander Taylor,",1st,male,0
"Compton, Miss Sara Rebecca",1st,female,1
"Cornell, Mrs Robert Clifford (",1st,female,1
"Crafton, Mr John Bertram",1st,male,0
"Crosby, Captain Edward Gifford",1st,male,0
"Crosby, Mrs Edward Gifford (Ca",1st,female,1
"Crosby, Miss Harriet R",1st,female,1
"Cumings, Mr John Bradley",1st,male,0
"Cumings, Mrs John Bradley (Flo",1st,female,1
"Daly, Mr Peter Denis",1st,male,1
"Daniel, Mr Robert Williams",1st,male,1
"Davidson, Mr Thornton",1st,male,0
"Davidson, Mrs Thornton (Orian",1st,female,1
"de Villiers, Madame Berthe",1st,female,1
"Dick, Mr Albert Adrian",1st,male,1
"Dick, Mrs Albert Adrian Vera G",1st,female,1
"Dodge, Dr Washington",1st,male,1
"Dodge, Mrs Washington (Ruth Vi",1st,female,1
"Dodge, Master Washington",1st,male,1
"Douglas, Mrs Frederick Charles",1st,female,1
"Douglas, Mr Walter Donald",1st,male,0
"Douglas, Mrs Walter Donald (Ma",1st,female,1
"Duff Gordon, Sir Cosmo Edmund",1st,male,1
"Duff Gordon, Lady (Lucille Wal",1st,female,1
"Dulles, Mr William Crothers",1st,male,0
"Earnshaw, Mrs Boulton (Olive P",1st,female,1
"Eustis, Miss Elizabeth Mussey",1st,female,1
"Evans, Miss Edith Corse",1st,female,0
"Flegenheim, Mrs Alfred (Antoin",1st,female,1
"Flynn, Mr John Irving",1st,male,1
"Foreman, Mr Benjamin Laventall",1st,male,0
"Fortune, Miss Alice Elizabeth",1st,female,1
"Fortune, Mr Charles Alexander",1st,male,0
"Fortune, Miss Ethel Flora",1st,female,1
"Fortune, Miss Mabel",1st,female,1
"Fortune, Mr Mark",1st,male,0
"Fortune, Mrs Mark (Mary McDoug",1st,female,1
"Franklin, Mr Thomas Parham",1st,male,0
"Frauenthal, Dr Henry William",1st,male,1
"Frauenthal, Mrs Henry William",1st,female,1
"Frauenthal, Mr Isaac Gerald",1st,male,1
"Frolicher, Miss Marguerite",1st,female,1
"Frolicher-Stehli, Mr Maxmillia",1st,male,1
"Frolicher-Stehli, Mrs Maxmilli",1st,female,1
"Futrelle, Mr Jacques",1st,male,0
"Futrelle, Mrs Jacques (May Pee",1st,female,1
"Gee, Mr Arthur H",1st,male,0
"Gibson, Miss Dorothy",1st,female,1
"Gibson, Mrs Leonard (Pauline C",1st,female,1
"Goldenberg, Mr Samuel L",1st,male,1
"Goldenberg, Mrs Samuel L (Edwi",1st,female,1
"Goldschmidt, Mr George B",1st,male,0
"Gracie, Colonel Archibald IV",1st,male,1
"Graham, Mr George Edward",1st,male,0
"Graham, Miss Margaret Edith",1st,female,1
"Graham, Mrs William Thompson (",1st,female,1
"Greenfield, Mrs Leo David (Bla",1st,female,1
"Greenfield, Mr William Bertram",1st,male,1
"Guggenheim, Mr Benjamin",1st,male,0
"Harder, Mr George Achilles",1st,male,1
"Harder, Mrs George Achilles (D",1st,female,1
"Harper, Mr Henry Sleeper",1st,male,1
"Harper, Mrs Henry Sleeper (Myn",1st,female,1
"Harris, Mr Henry Birkhardt",1st,male,0
"Harris, Mrs Henry Birkhardt (I",1st,female,1
"Hawksford, Mr Walter James",1st,male,1
"Hays, Mr Charles Melville",1st,male,0
"Hays, Mrs Charles Melville (Cl",1st,female,1
"Hays, Miss Margaret Bechstein",1st,female,1
"Head, Mr Christopher",1st,male,0
"Hilliard, Mr Herbert Henry",1st,male,0
"Hipkins, Mr William Edward",1st,male,0
"Hippach, Miss Jean Gertrude",1st,female,1
"Hippach, Mrs Louis Albert (Ida",1st,female,1
"Hogeboom, Mrs John C (Anna And",1st,female,1
"Holverson, Mr Alexander Oskar",1st,male,0
"Holverson, Mrs Alexander Oskar",1st,female,1
"Homer, Mr Harry",1st,male,1
"Hoyt, Mr Frederick Maxfield",1st,male,1
"Hoyt, Mrs Frederick Maxfield (",1st,female,1
"Hoyt, Mr William F",1st,male,0
"Isham, Miss Anne Elizabeth",1st,female,0
"Ismay, Mr Joseph Bruce",1st,male,1
"Jones, Mr Charles Cresson",1st,male,0
"Julian, Mr Henry Forbes",1st,male,0
"Kent, Mr Edward Austin",1st,male,0
"Kenyon, Mr Frederick R",1st,male,0
"Kenyon, Mrs Frederick R (Mario",1st,female,1
"Kimball, Mr Edwin Nelson Jr",1st,male,1
"Kimball, Mrs Edwin Nelson Jr (",1st,female,1
"Klaber, Mr Herman",1st,male,0
"Leader, Dr Alice Farnham",1st,female,1
"Lewy, Mr Ervin G",1st,male,0
"Lindeberg-Lind, Mr Erik Gustaf",1st,male,0
"Lindstrom, Mrs Carl Johan (Sig",1st,female,1
"Lines, Mrs Ernest H (Elizabeth",1st,female,1
"Lines, Miss Mary Conover",1st,female,1
"Lingrey, Mr Edward",1st,male,0
