Geography,Geography_type,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,City,Weekly,1/7/19 0:00,Conventional,0.921801566,111277.47,3541.9,95713.8,149.31,10904.73,0,0,0,967.73
Albany,City,Weekly,1/13/19 0:00,Conventional,0.906561129,115663.46,2920.69,101796.05,181.26,10072.66,0,0,0,692.81
Albany,City,Weekly,1/20/19 0:00,Conventional,0.998831048,146107.67,4322.2,123402.11,179.63,17223.11,0,0,0,980.61
Albany,City,Weekly,1/27/19 0:00,Conventional,1.052065122,80297.47,3380.41,64018.59,210.82,11065.69,0,0,0,1621.96
Albany,City,Weekly,2/3/19 0:00,Conventional,0.798757561,186952.91,4371.56,169578.61,357.67,11217.3,0,0,0,1427.77
Albany,City,Weekly,2/10/19 0:00,Conventional,0.882870237,109116.23,4769.7,91719.84,158.76,11024.2,0,0,0,1443.73
Albany,City,Weekly,2/17/19 0:00,Conventional,1.039362128,93261.92,4653.38,76693.32,219.24,10975.71,0,0,0,720.26
Albany,City,Weekly,2/24/19 0:00,Conventional,0.880905745,114022.18,3766.89,98810.45,200.67,9638.35,0,0,0,1605.82
Albany,City,Weekly,3/3/19 0:00,Conventional,1.08048977,95694.77,3949.87,79013.49,231.53,10868.92,0,0,0,1630.97
Albany,City,Weekly,3/10/19 0:00,Conventional,0.821932997,157968.18,3668.23,143421.21,244.83,10022,0,0,0,611.91
Albany,City,Weekly,3/17/19 0:00,Conventional,1.049817661,95303.66,3858.18,75480.68,230.91,15336.03,0,0,0,397.87
Albany,City,Weekly,3/24/19 0:00,Conventional,0.909840811,138460.47,3989.66,121152.81,192.78,12607.55,0,0,0,517.66
Albany,City,Weekly,3/31/19 0:00,Conventional,1.044839841,99901.1,3637.65,77480.03,219,18272.37,0,0,0,292.05
Albany,City,Weekly,4/7/19 0:00,Conventional,0.839517566,145373.38,4795.7,126467.5,285.88,13593.42,0,0,0,230.87
Albany,City,Weekly,4/14/19 0:00,Conventional,1.132011896,88281.25,3954.36,71422.96,241.82,12536.9,0,0,0,125.2
Albany,City,Weekly,4/21/19 0:00,Conventional,1.475811756,94805.51,3476.38,77648.98,310.4,13260.47,0,0,0,109.29
Albany,City,Weekly,4/28/19 0:00,Conventional,1.542950896,79953.06,3706.59,64053.03,257.29,11807.4,0,0,0,128.76
Albany,City,Weekly,5/5/19 0:00,Conventional,1.229378195,151104.57,5051.53,133086.54,389.74,12238.69,0,0,0,338.07
Albany,City,Weekly,5/12/19 0:00,Conventional,1.491083581,107711.42,4303.06,89501.34,234.52,13469.99,0,0,0,202.51
Albany,City,Weekly,5/19/19 0:00,Conventional,1.636085987,120344.14,3327.48,102539.21,259.88,13467.28,0,0,0,750.29
Albany,City,Weekly,5/26/19 0:00,Conventional,1.605431935,108192.36,4441.07,89867.69,246.18,12850.96,0,0,0,786.46
Albany,City,Weekly,6/2/19 0:00,Conventional,1.604726281,101317.05,3149.09,83967.41,265.54,13673.91,0,0,0,261.1
Albany,City,Weekly,6/9/19 0:00,Conventional,1.653283495,142479.52,4717.88,122078.74,204.56,13352.56,0,0,0,2125.78
Albany,City,Weekly,6/16/19 0:00,Conventional,1.325531453,129268.16,3475.63,111891.35,199.17,12145.8,0,0,0,1556.21
Albany,City,Weekly,6/23/19 0:00,Conventional,1.58145548,121184.28,2891.3,100711.65,388.03,13634.4,0,0,0,3558.9
Albany,City,Weekly,6/30/19 0:00,Conventional,1.505042065,100888.62,2843.69,76888.37,416.47,17444.93,0,0,0,3295.16
Albany,City,Weekly,7/7/19 0:00,Conventional,1.557649926,105531.44,3010.46,84225.74,304.18,14848.41,0,0,0,3142.65
Albany,City,Weekly,7/14/19 0:00,Conventional,1.525633873,100463.81,2930.69,83146.04,262.13,11305.58,0,0,0,2819.37
Albany,City,Weekly,7/21/19 0:00,Conventional,1.571836356,92779.96,2915.18,76354.33,291.03,11747.85,0,0,0,1471.56
Albany,City,Weekly,7/28/19 0:00,Conventional,1.653728266,86019.56,3606.5,68036.82,491.07,11722.18,0,0,0,2163
Albany,City,Weekly,8/4/19 0:00,Conventional,1.603503504,87358.89,3852.67,68837.5,457.97,11864,0,0,0,2346.75
Albany,City,Weekly,8/11/19 0:00,Conventional,1.533176947,91043.36,3947.66,70014.9,1840.78,13188.86,0,0,0,2051.16
Albany,City,Weekly,8/18/19 0:00,Conventional,1.437172984,100921.16,8506.19,76919.06,548.01,12006.35,0,0,0,2941.56
Albany,City,Weekly,8/25/19 0:00,Conventional,1.340949267,91924.84,9320.25,70245.62,466.9,10721.86,0,0,0,1170.22
Albany,City,Weekly,9/1/19 0:00,Conventional,1.471590963,99262.47,8469.95,78311.92,355.73,10502.13,0,0,0,1622.76
Albany,City,Weekly,9/8/19 0:00,Conventional,1.479116149,97455.83,7771.21,72540.53,431.23,14241.64,0,0,0,2471.21
Albany,City,Weekly,9/15/19 0:00,Conventional,1.560548123,104200.57,6070.98,87328.63,140.7,9060.69,0,0,0,1599.57
Albany,City,Weekly,9/22/19 0:00,Conventional,1.335099247,86962.97,4704.22,71034.96,149.48,9312.52,0,0,0,1761.79
Albany,City,Weekly,9/29/19 0:00,Conventional,1.363350506,141190.07,4024.37,124930.82,110.1,8591.66,0,0,0,3533.12
Albany,City,Weekly,10/6/19 0:00,Conventional,1.242837471,102576.53,4549.18,82626.49,95.6,13354.75,0,0,0,1950.5
Albany,City,Weekly,10/13/19 0:00,Conventional,1.45282281,86564.48,4186.33,70525.35,98.36,8528.3,0,0,0,3226.14
Albany,City,Weekly,10/20/19 0:00,Conventional,1.287874788,100855.38,4059.89,84433.87,118.98,9182.76,0,0,0,3059.88
Albany,City,Weekly,10/27/19 0:00,Conventional,1.351592831,108087.68,3526.98,90577.01,105.29,9331.31,0,0,0,4547.08
Albany,City,Weekly,11/3/19 0:00,Conventional,1.224583196,78202.43,2959.73,61674.16,117.73,9054.39,0,0,0,4396.42
Albany,City,Weekly,11/10/19 0:00,Conventional,1.200986894,92291.92,4006.11,76136.08,87.89,8930.21,0,0,0,3131.63
Albany,City,Weekly,11/17/19 0:00,Conventional,1.172488461,124046.5,4070.8,107364.27,129.7,8640.02,0,0,0,3841.71
Albany,City,Weekly,11/24/19 0:00,Conventional,1.174363573,82650.15,3578.93,64966.03,130.63,9779.3,0,0,0,4195.26
Albany,City,Weekly,12/1/19 0:00,Conventional,1.197096142,77929.47,2906.6,60240.1,78.29,11204.9,0,0,0,3499.58
Albany,City,Weekly,12/8/19 0:00,Conventional,1.227088386,102088.76,3234.81,83319.83,130.29,10043.45,0,0,0,5360.38
Albany,City,Weekly,12/15/19 0:00,Conventional,1.092785027,103030.79,3682.52,82520.47,146.55,10916.11,0,0,0,5765.13
Albany,City,Weekly,12/22/19 0:00,Conventional,1.247479424,99288.35,3263.76,80378.48,122.21,9383,0,0,0,6140.9
Albany,City,Weekly,12/29/19 0:00,Conventional,1.07580715,96724.38,2771.29,79619.53,172.83,9407.78,0,0,0,4752.95
Albany,City,Weekly,1/7/19 0:00,Organic,1.517705937,4291.27,31.26,520.79,0,3739.23,0,0,0,0
Albany,City,Weekly,1/13/19 0:00,Organic,1.387891815,5112.4,34.52,438.09,0,4639.79,0,0,0,0
Albany,City,Weekly,1/20/19 0:00,Organic,1.581582999,3967.84,15.56,436.97,0,3515.31,0,0,0,0
Albany,City,Weekly,1/27/19 0:00,Organic,1.44123489,3413.69,16.68,383.29,0,3013.73,0,0,0,0
Albany,City,Weekly,2/3/19 0:00,Organic,1.37347914,3957.36,29.15,361.27,0,3566.93,0,0,0,0
Albany,City,Weekly,2/10/19 0:00,Organic,1.333021047,3889.78,150.7,390.89,0,3348.2,0,0,0,0
Albany,City,Weekly,2/17/19 0:00,Organic,1.446731462,3438.79,73.57,462.54,0,2902.68,0,0,0,0
Albany,City,Weekly,2/24/19 0:00,Organic,1.47638697,3559.86,45.38,524.8,0,2989.68,0,0,0,0
Albany,City,Weekly,3/3/19 0:00,Organic,1.313802977,5101.69,122.68,448.44,0,4530.57,0,0,0,0
Albany,City,Weekly,3/10/19 0:00,Organic,1.285681183,4986.52,55.47,371.47,0,4559.58,0,0,0,0
Albany,City,Weekly,3/17/19 0:00,Organic,1.355184624,4548.87,105.76,427.14,0,4015.97,0,0,0,0
Albany,City,Weekly,3/24/19 0:00,Organic,1.374180302,4195.16,70.09,428.06,0,3691.82,0,0,0,5.19
Albany,City,Weekly,3/31/19 0:00,Organic,1.744772394,2507.56,34.84,389.5,0,2083.22,0,0,0,0
Albany,City,Weekly,4/7/19 0:00,Organic,1.749032848,2609.52,111.6,482.81,0,2015.11,0,0,0,0
Albany,City,Weekly,4/14/19 0:00,Organic,1.655638543,4166.59,1298.2,745.98,0,2106.85,0,0,0,15.56
Albany,City,Weekly,4/21/19 0:00,Organic,2.15471281,2332.91,238.59,606.32,0,1473.71,0,0,0,14.29
Albany,City,Weekly,4/28/19 0:00,Organic,2.078387448,2135.86,131.15,543.74,0,1458.36,0,0,0,2.6
Albany,City,Weekly,5/5/19 0:00,Organic,2.10815155,2307.11,139.22,466.78,0,1701.1,0,0,0,0
Albany,City,Weekly,5/12/19 0:00,Organic,1.963674285,3268.27,38.39,570.19,0,2659.69,0,0,0,0
Albany,City,Weekly,5/19/19 0:00,Organic,1.830889252,2858.88,103.69,462.29,0,2292.89,0,0,0,0
